"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Euphrasia collina","Orobanchaceae","Strict",0.132233333333333,"Species",0.42,"Genus",NA
"Festuca alpina","Poaceae","Strict",1.29257272727273,"Genus",0.2,"Family",NA
"Festuca eskia","Poaceae","Strict",1.29257272727273,"Genus",0.2,"Family",NA
"Festuca halleri","Poaceae","Strict",1.2496,"Species",0.2,"Family",NA
"Festuca nitidula","Poaceae","Generalist",0.5533,"Species",0.2,"Family","PD"
"Festuca norica","Poaceae","Strict",1.29257272727273,"Genus",0.2,"Family",NA
"Festuca ovina","Poaceae","Generalist",0.412508333333333,"Species",0.2,"Family","PD"
"Festuca paniculata","Poaceae","Strict",5.192,"Species",0.2,"Family","PD"
"Festuca quadriflora","Poaceae","Strict",1.29257272727273,"Genus",0.2,"Family",NA
"Festuca rubra","Poaceae","Generalist",0.755908333333333,"Species",0.2,"Family","PD"
"Festuca scabriculmis","Poaceae","Strict",1.29257272727273,"Genus",0.2,"Family",NA
"Festuca sinensis","Poaceae","Generalist",0.846377777777778,"Species",0.2,"Family","PD"
"Festuca varia","Poaceae","Generalist",1.6468,"Species",0.2,"Family",NA
"Festuca violacea","Poaceae","Strict",1.4784,"Species",0.2,"Family",NA
"Fritillaria legionensis","Liliaceae","Strict",3.31386842105263,"Genus",0.06,"Family",NA
"Fritillaria unibracteata","Liliaceae","Strict",0.78,"Species",0.06,"Family","MPD"
"Galium boreale","Rubiaceae","Generalist",0.455333333333333,"Species",0.16,"Genus","PD"
"Galium montis-arerae","Rubiaceae","Strict",0.6704,"Species",0.16,"Genus",NA
"Gaultheria poeppigii","Ericaceae","Generalist",0.488391666666667,"Genus",0.17,"Genus",NA
"Gaultheria pumila","Ericaceae","Generalist",0.1204,"Species",0.17,"Genus",NA
"Gentiana acaulis","Gentianaceae","Strict",0.306,"Species",0.07,"Genus","MPD"
"Gentiana aquatica","Gentianaceae","Generalist",0.198277777777778,"Species",0.07,"Genus",NA
"Gentiana aristata","Gentianaceae","Generalist",0.0805,"Species",0.07,"Genus","PD"
"Gentiana brachyphylla","Gentianaceae","Strict",0.23157,"Genus",0.07,"Genus","MPD"
"Gentiana burseri","Gentianaceae","Generalist",0.23157,"Genus",0.07,"Genus",NA
"Gentiana choanantha","Gentianaceae","Generalist",0.074,"Species",0.07,"Genus",NA
"Gentiana clusii","Gentianaceae","Strict",0.44,"Species",0.07,"Genus","MPD"
"Gentiana crassuloides","Gentianaceae","Generalist",0.0733,"Species",0.07,"Genus","PD"
